id_venda,id_cliente,data_venda,categoria,valor_venda,quantidade,desconto,devolvido,pago,forma_pagamento,cidade_entrega,obs
6384,452.0,2024-08-11 00:00:00,Alimentos,25.8,3.0,0.0,False,False,,CTBA,telefone inválido
4167,188.0,2024-08-09 00:00:00,Informática,1625.53,2.0,0.15,False,True,boleto,SLAVADOR,
2077,277.0,2023-08-13 00:00:00,Escritório,232.46,2.0,0.0,False,True,cartao,SAO PAULO CENTRO,
4568,964.0,2024-04-20 00:00:00,Eletrônicos,898.51,1.0,0.0,False,True,pix,RJ  ,telefone inválido
3796,551.0,2024-05-30 00:00:00,Escritório,146.13,1.0,0.0,False,True,pix,  são paulo ,
4960,83.0,2022-09-29 00:00:00,Informática,642.71,1.0,0.0,False,True,,POA,cliente reclamou
1028,657.0,2024-12-16 00:00:00,Eletrônicos,1152.94,1.0,0.0,False,True,, bh,Entrega atrasada
2841,243.0,2022-11-13 00:00:00,Acessórios,47.37,1.0,0.15,False,True,Cartão ,SÃOPUALO ,
4513,796.0,2022-03-06 00:00:00,Informática,941.47,1.0,0.0,True,True,dinheiro, RJ  ,telefone inválido
4626,485.0,2023-05-03 00:00:00,Acessórios,158.55,4.0,0.0,False,False,dinheiro, sp  ,Entrega atrasada
3533,125.0,2024-03-08 00:00:00,Brinquedos,82.35,1.0,0.05,False,True,,manaus,
3174,924.0,2025-05-04 00:00:00,Alimentos,61.43,4.0,0.0,False,True,dinheiro,SJC,ok
5056,815.0,2023-11-13 00:00:00,Acessórios,44.35,1.0,0.0,False,True,,Campinas ,cliente reclamou
3657,313.0,2024-10-17 00:00:00,Informática,786.37,1.0,0.05,False,True,,Rio de Janeiro,Entrega atrasada
2876,996.0,2023-04-09 00:00:00,Escritório,118.72,1.0,0.0,False,True,,Interior,ok
6342,659.0,2022-06-05 00:00:00,Eletrônicos,834.26,1.0,0.0,False,True,,BH,Entrega atrasada
279,666.0,2023-01-21 00:00:00,Eletrônicos,646.63,1.0,0.0,True,True,pix,fortaleza,
6873,610.0,2023-09-02 00:00:00,Acessórios,34.83,1.0,0.0,False,True,boleto,SAO PAULO CENTRO,Entrega atrasada
668,601.0,2025-03-14 00:00:00,Alimentos,47.44,2.0,0.0,False,True,Cartão ,rBasilia,ok
915,16.0,2023-07-23 00:00:00,Informática,644.29,1.0,0.3,False,True,Cartão ,VILA VELHA,
1489,114.0,2024-02-09 00:00:00,Alimentos,35.02,2.0,0.0,False,True,Cartão ,RIO DE JANERIO,Entrega atrasada
6120,193.0,2023-02-21 00:00:00,Informática,2941.14,3.0,0.0,True,True,boleto,  Sao Paulo  ,
2843,536.0,2022-05-17 00:00:00,Acessórios,43.29,1.0,0.0,False,True,boleto,Sao Jose dos Campos ,Entrega atrasada
2948,1367.0,2023-10-09 00:00:00,Eletrônicos,988.45,1.0,0.0,False,True,boleto,SÃO PAULO,
4796,437.0,2023-07-13 00:00:00,Móveis,855.92,1.0,0.0,False,True,boleto,Niterió  ,ok
1116,317.0,2024-08-26 00:00:00,Acessórios,33.54,1.0,0.0,False,True,dinheiro,Rio de Janeiro,Entrega atrasada
4728,1153.0,2022-12-06 00:00:00,Escritório,241.68,1.0,0.15,False,True,cartao,Porto Alegre,ok
6397,1187.0,2022-10-03 00:00:00,Móveis,0.0,1.0,0.0,False,True,cartao,São Paulo,
6320,236.0,2023-03-12 00:00:00,Eletrônicos,638.01,1.0,0.0,False,True,pix, VILA VELHA ,Entrega atrasada
2607,1488.0,2023-03-20 00:00:00,Acessórios,54.16,1.0,0.0,False,True,dinheiro,BRASÍLIA,Entrega atrasada
1422,449.0,2024-10-05 00:00:00,Escritório,172.32,1.0,0.0,False,True,boleto,SJC,cliente reclamou
4439,179.0,2024-12-25 00:00:00,Brinquedos,82.19,2.0,0.0,False,True,cartao,SAO PAULO CENTRO,cliente reclamou
4125,304.0,2022-01-20 00:00:00,Informática,1141.13,1.0,0.0,False,True,pix,Campinas,telefone inválido
1927,946.0,2022-08-03 00:00:00,Escritório,133.92,1.0,0.0,False,True,cartao,SJC,ok
1152,814.0,2024-01-18 00:00:00,Acessórios,45.57,1.0,0.0,False,True,Cartão ,ctba,
4105,23.0,2023-08-05 00:00:00,Eletrônicos,885.96,1.0,0.1,False,True,cartao,,cliente reclamou
4251,331.0,2022-09-10 00:00:00,Acessórios,29.1,1.0,0.0,False,True,dinheiro, Interior ,ok
6152,309.0,2022-07-13 00:00:00,Escritório,56035.83,2.0,0.0,False,True,cartao,sao paulo centro,cliente reclamou
2137,142.0,2023-01-14 00:00:00,Brinquedos,68.09,2.0,0.0,False,True,cartao,Salvador,cliente reclamou
4723,497.0,2024-11-12 00:00:00,Eletrônicos,420.17,1.0,0.0,False,True,Cartão ,INTERIOR,
5598,555.0,2024-12-29 00:00:00,Brinquedos,381.13,5.0,0.0,False,True,,Salvador  ,cliente reclamou
104,954.0,2025-02-16 00:00:00,Eletrônicos,1839.23,3.0,0.0,False,True,boleto,Vila Velha,Entrega atrasada
327,833.0,2022-04-30 00:00:00,Informática,853.85,1.0,0.0,False,True,dinheiro,niteroi,cliente reclamou
399,170.0,2024-04-17 00:00:00,Eletrônicos,979.34,2.0,0.05,False,False,boleto,Rio de Janeiro,cliente reclamou
542,649.0,2022-03-21 00:00:00,Eletrônicos,424.69,1.0,0.0,False,True,pix,brasília,cliente reclamou
5327,175.0,2024-05-23 00:00:00,Móveis,586.38,1.0,0.0,False,True,dinheiro,Zona Sul,Entrega atrasada
5483,1442.0,2025-03-27 00:00:00,Informática,1948.51,2.0,0.0,False,True,pix,GOINAIA ,telefone inválido
6363,895.0,2024-11-02 00:00:00,,925.66,1.0,0.0,False,True,,SaoPaulo,
5646,364.0,2023-04-02 00:00:00,,129.59,2.0,0.0,False,True,,CURITIBA,cliente reclamou
2541,110.0,2024-12-18 00:00:00,Brinquedos,214.73,4.0,0.0,False,True,cartao, POA,
3230,143.0,2025-02-17 00:00:00,Eletrônicos,1365.88,2.0,0.0,False,True,dinheiro,BH,
154,877.0,2023-08-11 00:00:00,Informática,972.88,1.0,0.15,False,False,,  ,telefone inválido
2655,659.0,2024-09-03 00:00:00,Eletrônicos,449.32,1.0,0.0,False,True,,Porto Alegre,telefone inválido
4299,525.0,2025-10-27 00:00:00,Alimentos,44.65,3.0,0.0,False,True,dinheiro,Sao Paulo,telefone inválido
5527,500.0,2022-07-26 00:00:00,Alimentos,0.0,4.0,0.0,False,True,boleto, zona sul,telefone inválido
6638,884.0,2025-10-18 00:00:00,Brinquedos,0.0,2.0,0.0,False,True,,RIO,telefone inválido
1969,638.0,2024-11-20 00:00:00,Informática,1487.62,1.0,0.0,False,True,Cartão ,brasília,telefone inválido
5989,122.0,2022-06-19 00:00:00,Eletrônicos,621.56,1.0,0.0,False,True,boleto,Rio de Janeiro,cliente reclamou
474,371.0,2022-04-29 00:00:00,Móveis,1399.94,1.0,0.0,False,True,Cartão ,RJ,cliente reclamou
4288,986.0,2025-08-04 00:00:00,Brinquedos,221.84,3.0,0.0,False,False,cartao,BH,telefone inválido
6112,828.0,2024-04-10 00:00:00,Acessórios,43.18,1.0,0.0,False,True,cartao,Sao Paulo Centro,
1847,744.0,2023-05-25 00:00:00,Escritório,225.42,1.0,0.0,False,True,,Niteroi  ,cliente reclamou
5160,1283.0,2025-02-02 00:00:00,Brinquedos,130.57,3.0,0.0,False,True,,  zona sul  ,ok
1344,478.0,2022-09-02 00:00:00,Acessórios,30.03,1.0,0.0,False,True,,NITEROI,ok
986,456.0,2025-01-16 00:00:00,Escritório,131.2,1.0,0.15,False,True,,  POA ,Entrega atrasada
6733,1308.0,2024-09-08 00:00:00,Móveis,4218.98,4.0,0.0,False,True,cartao,RIO DE JANEIRO,ok
6575,970.0,2024-10-19 00:00:00,Escritório,282.31,1.0,0.0,False,True,cartao,rio,Entrega atrasada
434,15.0,2023-09-18 00:00:00,Informática,2490.28,2.0,0.1,False,True,,Zona Sul,
1610,34.0,2024-11-11 00:00:00,Móveis,4231.95,3.0,0.1,False,True,,Porto Alegre,cliente reclamou
2456,1250.0,2025-03-27 00:00:00,Informática,931.88,1.0,0.0,False,True,dinheiro,Vila Velha,
4066,318.0,2022-06-18 00:00:00,,56.69,1.0,0.0,False,True,,SãoPaulo,cliente reclamou
433,1139.0,2024-12-15 00:00:00,Acessórios,39.78,1.0,0.0,False,True,dinheiro,SÃOPAULO,
